Price Period,                      TOWNS,Super, Diesel,Kerosene
15th June 2023- 14th July 2023,Ahero,181.87,167.49,161.7
15th June 2023- 14th July 2023,Ugunja,182.3,167.91,162.13
15th June 2023- 14th July 2023,Asembo,181.96,167.56,161.78
15th June 2023- 14th July 2023,Usenge,182.43,168.04,162.26
15th June 2023- 14th July 2023,Harambee,181.92,167.52,161.74
15th June 2023- 14th July 2023,Muhuru Bay,183.69,169.3,163.51
15th June 2023- 14th July 2023,Kehancha,183.92,169.53,163.75
15th June 2023- 14th July 2023,Ntimaru,184.23,169.84,164.05
15th June 2023- 14th July 2023,Rongo,183.01,168.61,162.83
15th June 2023- 14th July 2023,Kaspokwony,182.96,168.57,162.79
15th June 2023- 14th July 2023,Chwele,182.91,168.52,162.73
15th June 2023- 14th July 2023,Kimilili,182.83,168.44,162.66
15th June 2023- 14th July 2023,Nambale,182.75,168.35,162.57
15th June 2023- 14th July 2023,SioPort,182.74,168.34,162.56
15th June 2023- 14th July 2023,Port Bunyala,182.78,168.39,162.61
15th June 2023- 14th July 2023,Funyula,182.61,168.21,162.43
15th June 2023- 14th July 2023,Ogembo,182.91,168.52,162.73
15th June 2023- 14th July 2023,Nyangusu,183.17,168.78,162.99
15th June 2023- 14th July 2023,Sengera,183.09,168.7,162.92
15th June 2023- 14th July 2023,Keumbu,182.82,168.43,162.65
15th June 2023- 14th July 2023,Marani,182.52,168.13,162.35
15th June 2023- 14th July 2023,Kerina,182.89,168.49,162.71
15th June 2023- 14th July 2023,Ikonge,182.24,167.84,162.06
15th June 2023- 14th July 2023,Nyansiongo,182.64,168.25,162.46
